,timestamp,open,high,low,close,volume_base,volume,volume_quote,time,sma1,sma2,sma3,sma4,val,up,down,compra,venda,compra_price,venda_price,avgCandleSize,volumeThreshold11,bullElephantBar,bearElephantBar,compra_price_elephant,venda_price_elephant
0,1743172020000,129.9,129.9,129.75,129.76,1456.8057,189129.260891,189129.260891,28-03-2025 14:27:00,,,,,129.8275,False,False,False,False,,,,,False,False,,
1,1743172080000,129.76,129.96,129.72,129.91,1124.3945,145963.018618,145963.018618,28-03-2025 14:28:00,,,,,129.8375,True,False,False,False,,,,,False,False,,
2,1743172140000,129.91,130.0,129.87,129.92,1352.2344,175705.221412,175705.221412,28-03-2025 14:29:00,,,,,129.92499999999998,True,False,False,False,,,,,False,False,,
3,1743172200000,129.92,130.08,129.84,130.08,1319.0134,171427.75586,171427.75586,28-03-2025 14:30:00,,,,,129.98000000000002,True,False,False,False,,,,,False,False,,
4,1743172260000,130.08,130.17,129.99,130.14,1386.9619,180396.68044,180396.68044,28-03-2025 14:31:00,,,,,130.095,True,False,False,False,,,,,False,False,,
5,1743172320000,130.14,130.23,130.08,130.11,1443.6542,187898.972835,187898.972835,28-03-2025 14:32:00,,,,,130.14000000000001,True,False,False,False,,,,,False,False,,
6,1743172380000,130.11,130.12,129.81,129.97,1015.6376,131984.058231,131984.058231,28-03-2025 14:33:00,,,,,130.0025,False,True,False,False,,,,,False,False,,
7,1743172440000,129.97,130.0,129.84,130.0,1250.6263,162497.458105,162497.458105,28-03-2025 14:34:00,129.98624999999998,,,,129.95250000000001,False,True,False,False,,,,,False,False,,
8,1743172500000,130.0,130.17,129.99,130.07,1031.2571,134133.506829,134133.506829,28-03-2025 14:35:00,130.025,,,,130.0575,True,False,False,False,,,,,False,False,,
9,1743172560000,130.07,130.08,129.88,129.88,994.7168,129282.431841,129282.431841,28-03-2025 14:36:00,130.02125,,,,129.9775,False,True,False,False,,,,,False,False,,
10,1743172620000,129.88,130.04,129.8,130.04,986.7538,128173.792274,128173.792274,28-03-2025 14:37:00,130.03625,,,,129.94,False,True,False,False,,,,,False,False,,
11,1743172680000,130.04,130.23,130.01,130.23,694.2246,90296.659678,90296.659678,28-03-2025 14:38:00,130.055,,,,130.1275,True,False,False,False,,,,,False,False,,
12,1743172740000,130.23,130.36,130.23,130.33,769.9068,100338.620482,100338.620482,28-03-2025 14:39:00,130.07875,,,,130.28750000000002,True,False,False,False,,,,,False,False,,
13,1743172800000,130.33,130.37,130.13,130.19,928.2037,120897.527515,120897.527515,28-03-2025 14:40:00,130.08875,,,,130.255,False,True,False,False,,,,,False,False,,
14,1743172860000,130.19,130.19,129.97,130.12,771.7121,100367.403859,100367.403859,28-03-2025 14:41:00,130.1075,,,,130.1175,False,True,False,False,,,,,False,False,,
15,1743172920000,130.12,130.29,130.06,130.29,491.5997,63988.583392,63988.583392,28-03-2025 14:42:00,130.14375,,,,130.19,True,False,False,False,,,,,False,False,,
16,1743172980000,130.29,130.31,130.16,130.2,379.8263,49470.626786,49470.626786,28-03-2025 14:43:00,130.16,,,,130.24,True,False,False,False,,,,,False,False,,
17,1743173040000,130.2,130.22,130.06,130.15,528.8655,68836.105652,68836.105652,28-03-2025 14:44:00,130.19375,,,,130.1575,False,True,False,False,,,,,False,False,,
18,1743173100000,130.15,130.21,130.05,130.2,707.0352,91998.626206,91998.626206,28-03-2025 14:45:00,130.21375,,,,130.1525,False,True,False,False,,,,,False,False,,
19,1743173160000,130.2,130.22,129.91,129.93,478.0643,62181.684857,62181.684857,28-03-2025 14:46:00,130.17624999999998,130.076,,,130.065,False,True,False,False,,,,,False,False,,
20,1743173220000,129.93,130.02,129.92,130.01,564.6947,73408.259689,73408.259689,28-03-2025 14:47:00,130.13625,130.0885,,,129.97,False,True,False,False,,,,,False,False,,
21,1743173280000,130.01,130.07,129.89,130.03,715.7269,93026.513808,93026.513808,28-03-2025 14:48:00,130.11624999999998,130.09449999999998,,,130.0,True,False,False,False,,,,,False,False,,
22,1743173340000,130.03,130.09,129.98,130.02,800.5796,104091.639901,104091.639901,28-03-2025 14:49:00,130.10375,130.09949999999998,,,130.03,True,False,False,False,,,,,False,False,,
23,1743173400000,130.02,130.05,129.91,129.99,931.0714,120996.475017,120996.475017,28-03-2025 14:50:00,130.06625,130.095,,,129.9925,False,True,False,True,,129.99,,,False,False,,
24,1743173460000,129.99,130.19,129.96,130.0,699.2603,90937.804287,90937.804287,28-03-2025 14:51:00,130.04125,130.08800000000002,,,130.035,True,False,False,False,,,,,False,False,,
25,1743173520000,130.0,130.15,130.0,130.13,556.3369,72371.021587,72371.021587,28-03-2025 14:52:00,130.03875,130.089,,,130.07,True,False,False,False,,,,,False,False,,
26,1743173580000,130.13,130.22,130.13,130.2,690.6421,89903.91058,89903.91058,28-03-2025 14:53:00,130.03875,130.1005,,,130.17000000000002,True,False,False,False,,,,,False,False,,
27,1743173640000,130.2,130.24,130.15,130.17,883.9164,115072.325581,115072.325581,28-03-2025 14:54:00,130.06875,130.109,,,130.19,True,False,False,False,,,,,False,False,,
28,1743173700000,130.17,130.17,129.98,129.98,914.097,118857.87481,118857.87481,28-03-2025 14:55:00,130.065,130.10449999999997,,,130.075,False,True,False,True,,129.98,,,False,False,,
29,1743173760000,129.98,129.98,129.79,129.8,506.1903,65743.696595,65743.696595,28-03-2025 14:56:00,130.03625,130.10049999999998,,,129.8875,False,True,False,False,,,,,False,False,,
30,1743173820000,129.8,129.89,129.78,129.85,623.5591,80964.681006,80964.681006,28-03-2025 14:57:00,130.015,130.09099999999998,,,129.83,False,True,False,False,,,,,False,False,,
31,1743173880000,129.85,130.03,129.85,130.03,474.3888,61645.667679,61645.667679,28-03-2025 14:58:00,130.02,130.081,,,129.94,True,False,False,False,,,,,False,False,,
32,1743173940000,130.03,130.15,130.03,130.1,653.5669,85021.017835,85021.017835,28-03-2025 14:59:00,130.0325,130.0695,,,130.07750000000001,True,False,False,False,,,,,False,False,,
33,1743174000000,130.1,130.11,129.96,130.01,851.697,110745.459088,110745.459088,28-03-2025 15:00:00,130.01749999999998,130.0605,,,130.04500000000002,False,True,False,True,,130.01,,,False,False,,
34,1743174060000,130.01,130.01,129.84,129.85,851.6842,110651.310756,110651.310756,28-03-2025 15:01:00,129.97375,130.047,,,129.9275,False,True,False,False,,,,,False,False,,
35,1743174120000,129.85,129.85,129.7,129.73,950.7088,123361.44855,123361.44855,28-03-2025 15:02:00,129.91875,130.019,,,129.7825,False,True,False,False,,,,,False,False,,
36,1743174180000,129.73,129.81,129.61,129.62,724.2702,93962.504695,93962.504695,28-03-2025 15:03:00,129.87375,129.99,,,129.6925,False,True,False,False,,,,,False,False,,
37,1743174240000,129.62,129.72,129.48,129.72,946.9569,122716.750036,122716.750036,28-03-2025 15:04:00,129.86375,129.9685,,,129.63500000000002,False,True,False,False,,,,,False,False,,
38,1743174300000,129.72,129.83,129.62,129.67,1030.28,133654.176949,133654.176949,28-03-2025 15:05:00,129.84125,129.94199999999998,,,129.71,True,False,False,False,,,,,False,False,,
39,1743174360000,129.67,129.7,129.47,129.7,750.7532,97280.047046,97280.047046,28-03-2025 15:06:00,129.8,129.9305,130.00325,,129.635,False,True,False,True,,129.7,,,False,False,,
40,1743174420000,129.7,129.8,129.62,129.67,1312.5129,170221.719009,170221.719009,28-03-2025 15:07:00,129.74625,129.9135,130.001,,129.6975,True,False,False,False,,,,,False,False,,
41,1743174480000,129.67,129.67,129.57,129.61,1041.5374,134989.898392,134989.898392,28-03-2025 15:08:00,129.69625,129.89249999999998,129.99349999999998,,129.63,False,True,False,True,,129.61,,,False,False,,
42,1743174540000,129.61,129.73,129.55,129.58,749.3357,97133.330784,97133.330784,28-03-2025 15:09:00,129.6625,129.8705,129.98499999999999,,129.6175,False,True,False,False,,,,,False,False,,
43,1743174600000,129.58,130.01,129.56,129.83,1405.8926,182483.595083,182483.595083,28-03-2025 15:10:00,129.67499999999998,129.86249999999998,129.97875,,129.745,True,False,False,False,,,,,False,False,,
44,1743174660000,129.83,129.94,129.81,129.92,1193.2616,154988.124047,154988.124047,28-03-2025 15:11:00,129.7125,129.8585,129.97324999999998,,129.875,True,False,False,False,,,,,False,False,,
45,1743174720000,129.92,129.92,129.65,129.69,1383.5479,179552.8819,179552.8819,28-03-2025 15:12:00,129.70875,129.8365,129.96275,,129.79500000000002,False,True,False,True,,129.69,,,False,False,,
46,1743174780000,129.69,129.96,129.69,129.92,1265.3538,164334.024964,164334.024964,28-03-2025 15:13:00,129.73999999999998,129.8225,129.96149999999997,,129.815,True,False,True,False,129.92,,,,False,False,,
47,1743174840000,129.92,129.92,129.76,129.81,1394.6357,181089.882992,181089.882992,28-03-2025 15:14:00,129.75375,129.8045,129.95675,,129.8525,True,False,False,False,,,,,False,False,,
48,1743174900000,129.81,129.91,129.68,129.69,1648.0025,213907.046677,213907.046677,28-03-2025 15:15:00,129.75625,129.79000000000002,129.94725,,129.7725,False,True,False,True,,129.69,,,False,False,,
